Show,Country,Tele,Jury,Difference,Order
Final,Malta,47,208,-161,6
Final,Bulgaria,30,140,-110,17
Final,Switzerland,165,267,-102,11
Final,Portugal,27,126,-99,7
Final,Belgium,3,71,-68,4
Final,Israel,20,73,-53,3
Final,San Marino,13,37,-24,26
Final,Iceland,180,198,-18,12
Final,Greece,79,91,-12,10
Final,The Netherlands,0,11,-10.999,23
Final,Cyprus,44,50,-6,1
Final,Spain,0,6,-5.999,13
Final,Russia,100,104,-4,5
Final,Germany,0,3,-2.999,15
Final,United Kingdom,0,0,0,9
Final,Azerbaijan,33,32,1,21
Final,France,251,248,3,20
Final,Moldova,62,53,9,14
Final,Albania,35,22,13,2
Final,Sweden,63,46,17,25
Final,Norway,60,15,45,22
Final,Serbia,82,20,62,8
Final,Lithuania,165,55,110,18
Final,Italy,318,206,112,24
Final,Finland,218,83,135,16
Final,Ukraine,267,97,170,19
