Show,Type,Country,Points
Semi2,Tele,Czech Republic,0.01
Final,Tele,Germany,0.01
Final,Tele,Spain,0.01
Final,Tele,The Netherlands,0.01
Final,Tele,United Kingdom,0.01
Semi1,Tele,Australia,2
Final,Tele,Belgium,3
Semi1,Tele,Ireland,4
Semi1,Tele,Slovenia,8
Semi2,Tele,Latvia,10
Semi1,Tele,North Macedonia,11
Final,Tele,San Marino,13
Semi2,Tele,Austria,13
Semi2,Tele,Georgia,15
Semi2,Tele,Poland,17
Final,Tele,Israel,20
Final,Tele,Portugal,27
Semi1,Tele,Romania,27
Semi2,Tele,Estonia,29
Final,Tele,Bulgaria,30
Final,Tele,Azerbaijan,33
Final,Tele,Albania,35
Final,Tele,Cyprus,44
Final,Tele,Malta,47
Semi1,Tele,Croatia,53
Final,Tele,Norway,60
Final,Tele,Moldova,62
Final,Tele,Sweden,63
Final,Tele,Greece,79
Semi2,Tele,Denmark,80
Final,Tele,Serbia,82
Final,Tele,Russia,100
Final,Tele,Lithuania,165
Final,Tele,Switzerland,165
Final,Tele,Iceland,180
Final,Tele,Finland,218
Final,Tele,France,251
Final,Tele,Ukraine,267
Final,Tele,Italy,318
