Show,Type,Country,Points
Final,Tele,Italy,318
Final,Tele,Ukraine,267
Final,Jury,Switzerland,267
Final,Tele,France,251
Final,Jury,France,248
Final,Tele,Finland,218
Final,Jury,Malta,208
Final,Jury,Italy,206
Final,Jury,Iceland,198
Final,Tele,Iceland,180
Final,Tele,Switzerland,165
Final,Tele,Lithuania,165
Final,Jury,Bulgaria,140
Final,Jury,Portugal,126
Final,Jury,Russia,104
Final,Tele,Russia,100
Final,Jury,Ukraine,97
Final,Jury,Greece,91
Final,Jury,Finland,83
Final,Tele,Serbia,82
Final,Tele,Greece,79
Final,Jury,Israel,73
Final,Jury,Belgium,71
Final,Tele,Sweden,63
Final,Tele,Moldova,62
Final,Tele,Norway,60
Final,Jury,Lithuania,55
Final,Jury,Moldova,53
Final,Jury,Cyprus,50
Final,Tele,Malta,47
Final,Jury,Sweden,46
Final,Tele,Cyprus,44
Final,Jury,San Marino,37
Final,Tele,Albania,35
Final,Tele,Azerbaijan,33
Final,Jury,Azerbaijan,32
Final,Tele,Bulgaria,30
Final,Tele,Portugal,27
Final,Jury,Albania,22
Final,Tele,Israel,20
Final,Jury,Serbia,20
Final,Jury,Norway,15
Final,Tele,San Marino,13
Final,Jury,The Netherlands,11
Final,Jury,Spain,6
Final,Tele,Belgium,3
Final,Jury,Germany,3
Final,Tele,The Netherlands,0.1
Final,Tele,Spain,0.1
Final,Tele,Germany,0.1
Final,Tele,United Kingdom,0.1
Final,Jury,United Kingdom,0.1
