Country,BPM,Color
Albania,99.384,#e41e20
Australia,117.454,Darkblue
Austria,161.499,#ed2939
Azerbaijan,99.384,#00b9e4
Belgium,80.75,#fae042
Bulgaria,92.285,#00966e
Croatia,123.047,#171796
Cyprus,112.347,#d57800
Czech Republic,123.047,#11457e
Denmark,123.047,#c60c30
Estonia,117.454,#0072ce
Finland,99.384,#003580
France,135.999,#002395
Georgia,135.999,Red
Germany,112.347,#ffce00
Greece,143.555,#0d5eaf
Iceland,123.047,#dc1e35
Ireland,143.555,#ff883e
Israel,107.666,#0038b8
Italy,103.359,#009246
Latvia,151.999,#9e3039
Lithuania,117.454,#fdb913
Macedonia,129.199,#ffe600
Malta,112.347,#cf142b
Moldova,117.454,#0b45bb
Netherlands,95.703,#ae1c28
Norway,92.285,#002868
Poland,129.199,Crimson
Portugal,135.999,#006600
Romania,117.454,#fcd116
Russia,103.359,#d52b1e
San Marino,103.359,#5eb6e4
Serbia,143.555,#c6363c
Slovenia,143.555,#0000bf
Spain,151.999,#ffc400
Sweden,123.047,#006aa7
Switzerland,123.047,Red
Ukraine,151.999,#ffd500
United Kingdom,129.199,#cf142b
